member_id,tier,segment,churn_probability,annual_value_thb,recency_days,frequency,monetary,tenure_days,distinct_branches,home_branch_share,redemption_count,points_balance,morning_visit_ratio,weekend_visit_ratio,avg_days_between_visits,gap_trend,visits_last_30d_vs_prev_30d
M000002,Gold,Loyal,0.42427933,3209.37,0,9,3209.37,177,2,0.8888888888888888,0,317,0.6666666666666666,0.2222222222222222,22.146006944444444,1.540188447769599,1.5
M000005,Bronze,One-and-done,0.0012856513,150.11,15,1,150.11,15,1,1.0,0,15,1.0,0.0,,,2.0
M000006,Silver,Hibernating,0.91028327,1589.67,70,8,1589.67,204,4,0.625,0,155,0.75,0.25,19.11259920634921,1.3117367217908849,1.0
M000007,Bronze,At-risk regulars,0.19202365,915.55,16,3,915.55,62,1,1.0,0,90,0.6666666666666666,0.0,23.08888888888889,,1.0
M000010,Bronze,One-and-done,0.0013046309,60.82,5,1,60.82,5,1,1.0,0,6,0.0,1.0,,,2.0
M000011,Bronze,At-risk regulars,0.4192169,983.82,6,3,983.82,70,1,1.0,0,97,0.6666666666666666,0.0,31.871875000000003,,1.0
M000012,Silver,At-risk regulars,0.6191805,1373.52,29,8,1373.52,174,2,0.875,0,132,0.5,0.125,20.680059523809522,1.268297248977376,1.0
M000013,Gold,One-and-done,0.0026336585,238.01,14,1,238.01,14,1,1.0,0,23,0.0,0.0,,,2.0
M000014,Silver,One-and-done,0.1306285,282.89,3,2,282.89,26,1,1.0,0,27,0.5,0.5,22.75347222222222,,3.0
M000016,Bronze,At-risk regulars,0.037115153,538.05,8,4,538.05,62,4,0.25,0,53,0.25,0.0,17.957407407407405,,0.6666666666666666
M000017,Bronze,Hibernating,0.1181275,500.84000000000003,49,4,500.84000000000003,107,1,1.0,0,48,0.5,0.0,19.362962962962964,,0.5
M000018,Bronze,Loyal,0.0026002466,2368.6,5,7,2368.6,57,3,0.7142857142857143,0,234,0.42857142857142855,0.14285714285714285,8.638310185185185,0.7474011987263532,1.25
M000019,Bronze,Loyal,0.16969056,2450.2,4,13,2450.2,211,1,1.0,1,55,0.38461538461538464,0.6923076923076923,17.26383101851852,1.1442787682333875,1.5
M000020,Bronze,Loyal,0.8127382,1937.47,13,12,1937.47,224,3,0.8333333333333334,0,189,0.5833333333333334,0.3333333333333333,19.173926767676768,1.7964896812057423,1.0
M000021,Silver,At-risk regulars,0.31237474,899.39,11,6,899.39,87,2,0.8333333333333334,0,88,0.16666666666666666,0.3333333333333333,15.187777777777779,1.0797658689281238,1.0
M000024,Bronze,Loyal,0.19417611,3317.77,7,25,3546.1,383,6,0.8,1,132,0.44,0.28,15.673032407407407,0.8780524799029271,1.0
M000026,Silver,Hibernating,0.974495,927.4,74,10,1593.12,587,4,0.7,0,154,0.7,0.3,57.02939814814815,1.8868650853126554,1.0
M000027,Silver,Hibernating,0.4414853,973.3199999999999,43,6,973.3199999999999,200,2,0.8333333333333334,0,94,0.6666666666666666,0.16666666666666666,31.45180555555556,1.319580214103087,0.5
M000028,Silver,Hibernating,0.8097472,1206.63,56,7,1206.63,266,3,0.7142857142857143,0,117,0.42857142857142855,0.14285714285714285,34.99571759259259,1.3804174112941954,0.5
M000029,Bronze,At-risk regulars,0.07130297,1194.3899999999999,4,4,1194.3899999999999,73,2,0.75,0,117,0.5,0.25,23.080787037037037,,1.5
M000030,Bronze,Loyal,0.7931027,3245.73,14,15,3245.73,305,3,0.8666666666666667,0,317,0.6,0.2,20.76423611111111,1.8956055571057726,1.0
M000031,Bronze,One-and-done,0.1671949,302.93,52,3,302.93,94,2,0.6666666666666666,0,29,0.6666666666666666,0.0,20.99722222222222,,0.5
M000032,Bronze,At-risk regulars,0.007472376,729.4300000000001,8,5,729.4300000000001,41,1,1.0,0,70,0.2,0.0,8.212326388888888,0.7624044475330092,1.3333333333333333
M000033,Silver,One-and-done,0.15766361,440.38,18,2,440.38,39,1,1.0,0,43,0.0,1.0,21.06875,,1.0
M000035,Bronze,At-risk regulars,0.023851898,1099.6399999999999,0,3,1099.6399999999999,32,1,1.0,0,109,0.6666666666666666,0.3333333333333333,15.872916666666665,,1.5
M000037,Bronze,One-and-done,0.00041439827,218.97,0,1,218.97,0,1,0.0,0,21,0.0,0.0,,,2.0
M000038,Silver,Champions,0.00089950766,32229.24,1,155,32229.24,274,19,0.864516129032258,20,339,0.5612903225806452,0.27741935483870966,1.772682178932179,0.9402748373287451,0.9
M000039,Bronze,At-risk regulars,0.17937556,1233.5,32,6,1233.5,166,3,0.6666666666666666,0,119,0.16666666666666666,0.8333333333333334,26.80388888888889,1.1217993271984208,0.5
M000040,Bronze,At-risk regulars,0.101980574,848.73,12,5,848.73,162,2,0.8,0,83,0.8,0.2,37.53767361111112,3.0098493985218173,1.0
M000041,Silver,Hibernating,0.33389464,835.98,54,6,835.98,215,2,0.8333333333333334,0,81,0.3333333333333333,0.6666666666666666,32.19611111111111,0.918161339171871,0.5
M000042,Silver,At-risk regulars,0.62417334,1286.2,33,8,1286.2,222,4,0.625,0,124,0.125,0.5,27.028670634920633,1.747562385681613,0.5
M000045,Silver,At-risk regulars,0.4993558,1955.22,34,6,1955.22,236,2,0.8333333333333334,0,193,0.3333333333333333,0.5,40.407916666666665,1.6663819891341392,0.5
M000046,Bronze,Champions,0.20457809,3671.3199999999997,4,23,4480.82,382,4,0.8695652173913043,0,434,0.2608695652173913,0.391304347826087,17.186111111111114,0.9600441071544396,1.0
M000047,Bronze,Loyal,0.28033993,2309.12,18,13,2309.12,199,1,1.0,0,224,0.38461538461538464,0.46153846153846156,15.092997685185189,0.927599379552334,0.6666666666666666
M000048,Bronze,Loyal,0.047083575,4374.54,7,15,4374.54,112,1,1.0,0,431,0.7333333333333333,0.2,7.476636904761904,1.1366794136392608,0.8
M000049,Bronze,Loyal,0.57114995,1548.43,0,11,1548.43,132,3,0.8181818181818182,0,149,0.36363636363636365,0.5454545454545454,13.147013888888889,1.5272512228019426,1.3333333333333333
M000050,Bronze,One-and-done,0.0007859071,104.19,16,1,104.19,16,1,1.0,0,10,1.0,0.0,,,2.0
M000052,Silver,Loyal,0.33045363,1718.67,1,9,1718.67,73,4,0.6666666666666666,0,167,0.4444444444444444,0.5555555555555556,9.0015625,1.4024837808400819,0.6666666666666666
M000053,Silver,At-risk regulars,0.15547779,1223.51,38,5,1223.51,156,1,1.0,0,120,1.0,0.0,29.50173611111111,0.9344225604297225,0.5
M000054,Bronze,One-and-done,0.2964196,492.24,15,2,492.24,31,1,1.0,0,48,1.0,0.0,15.950694444444444,,1.0
M000055,Bronze,At-risk regulars,0.13581757,781.25,20,5,781.25,90,2,0.8,0,74,0.2,0.0,17.5359375,0.3234177297494116,0.5
M000056,Bronze,Hibernating,0.6863507,972.47,57,6,972.47,214,2,0.8333333333333334,0,94,0.5,0.3333333333333333,31.336805555555554,1.435504684173503,0.5
M000058,Bronze,One-and-done,0.008505824,94.01,25,1,94.01,25,1,1.0,0,9,0.0,1.0,,,2.0
M000059,Bronze,Loyal,0.907624,3609.28,12,16,3609.28,189,2,0.9375,0,351,0.5625,0.3125,11.816064814814814,1.8052644448108992,0.6666666666666666
M000060,Bronze,Champions,0.000848497,4306.77,1,29,4306.77,237,3,0.9310344827586207,1,346,0.4827586206896552,0.27586206896551724,8.423338293650794,0.757184000342605,1.2
M000061,Bronze,At-risk regulars,0.35265273,1165.09,20,7,1165.09,119,3,0.7142857142857143,0,112,0.7142857142857143,0.14285714285714285,16.441319444444442,2.0198341836734697,1.0
M000062,Silver,One-and-done,0.1441043,493.58,8,3,493.58,72,1,1.0,0,47,0.6666666666666666,0.0,31.810069444444444,,1.0
M000063,Silver,One-and-done,0.17265533,148.79000000000002,25,2,148.79000000000002,34,1,1.0,0,14,0.5,0.5,9.372916666666667,,1.0
M000065,Gold,Champions,0.5517572,9069.51,23,34,9069.51,344,6,0.8235294117647058,0,891,0.6470588235294118,0.11764705882352941,9.729924242424241,1.579500972959977,1.5
M000066,Silver,At-risk regulars,0.025755731,1315.85,5,3,1315.85,47,1,1.0,0,131,0.3333333333333333,1.0,21.102430555555557,,0.6666666666666666
M000069,Bronze,Loyal,0.8450916,1499.22,11,9,1499.22,184,3,0.7777777777777778,0,145,0.7777777777777778,0.3333333333333333,21.623697916666668,1.7672845173403473,1.0
M000070,Gold,Loyal,0.10378304,3122.74,13,18,4024.29,457,4,0.8333333333333334,0,393,0.3888888888888889,0.3333333333333333,26.134027777777778,0.963984318813903,1.0
M000072,Silver,At-risk regulars,0.7329648,1539.67,8,6,1539.67,182,3,0.6666666666666666,0,152,0.6666666666666666,0.16666666666666666,34.75541666666667,1.1474284388672011,1.0
M000073,Silver,One-and-done,0.0010634313,149.47,18,1,149.47,18,1,1.0,0,14,0.0,1.0,,,2.0
M000074,Bronze,Loyal,0.5385032,1810.38,25,10,1810.38,272,2,0.9,1,115,0.5,0.3,27.417515432098767,1.233485908764139,1.0
